rank,name,confed,off,def,spi
1,Spain,UEFA,3.47,0.54,91.85
2,Brazil,CONMEBOL,2.96,0.32,91.72
3,Germany,UEFA,3.18,0.56,89.65
4,Belgium,UEFA,3.02,0.56,88.43
5,France,UEFA,2.68,0.51,86.33
6,England,UEFA,2.56,0.48,85.68
7,Argentina,CONMEBOL,2.47,0.46,85.13
8,Netherlands,UEFA,2.71,0.61,84.74
9,Uruguay,CONMEBOL,2.35,0.49,83.14
10,Colombia,CONMEBOL,2.22,0.42,82.92
11,Italy,UEFA,2.21,0.49,81.31
12,Portugal,UEFA,2.28,0.56,80.77
13,Switzerland,UEFA,2.48,0.7,80.49
14,Croatia,UEFA,2.4,0.79,77.56
15,Chile,CONMEBOL,2.23,0.68,77.45
16,Mexico,CONCACAF,2.27,0.74,76.77
17,Sweden,UEFA,2.14,0.7,75.79
18,Denmark,UEFA,2.1,0.72,74.75
19,Serbia,UEFA,2.14,0.81,73.41
20,Russia,UEFA,2.09,0.78,73.17
21,Ukraine,UEFA,1.94,0.69,72.77
22,Peru,CONMEBOL,1.96,0.71,72.55
23,Iran,AFC,1.83,0.62,72.52
24,Austria,UEFA,1.98,0.73,72.51
25,Poland,UEFA,1.97,0.77,71.44
26,Algeria,CAF,2.0,0.83,70.48
27,USA,CONCACAF,1.89,0.76,70.26
28,Ghana,CAF,1.64,0.58,69.93
29,Slovakia,UEFA,2.05,0.9,69.74
30,Senegal,CAF,1.65,0.61,69.52
31,Morocco,CAF,1.7,0.66,69.25
32,Norway,UEFA,1.89,0.82,68.83
33,Wales,UEFA,1.8,0.76,68.59
34,Bosnia and Herzegovina,UEFA,1.89,0.84,68.33
35,Ecuador,CONMEBOL,1.84,0.81,68.11
36,Paraguay,CONMEBOL,1.78,0.76,68.07
37,Japan,AFC,1.95,0.91,67.75
38,Turkey,UEFA,1.88,0.86,67.66
39,Czech Republic,UEFA,1.91,0.89,67.62
40,Venezuela,CONMEBOL,1.8,0.8,67.58
41,Mali,CAF,1.61,0.71,66.23
42,Nigeria,CAF,1.7,0.82,65.18
43,Ivory Coast,CAF,1.66,0.8,64.82
44,South Korea,AFC,1.64,0.83,63.91
45,Iceland,UEFA,1.79,0.98,63.16
46,Romania,UEFA,1.64,0.87,62.7
47,Australia,AFC,1.71,0.94,62.56
48,Costa Rica,CONCACAF,1.63,0.88,62.21
49,Tunisia,CAF,1.61,0.89,61.65
50,Scotland,UEFA,1.67,0.97,61.05
51,Egypt,CAF,1.62,0.96,60.33
52,Finland,UEFA,1.53,0.92,59.27
53,Cameroon,CAF,1.52,0.91,59.23
54,Northern Ireland,UEFA,1.43,0.84,58.91
55,Greece,UEFA,1.41,0.83,58.83
56,Qatar,AFC,1.68,1.09,58.56
57,Slovenia,UEFA,1.45,0.9,58.1
58,Rep of Ireland,UEFA,1.39,0.85,57.77
59,Canada,CONCACAF,1.7,1.16,57.25
60,Uzbekistan,AFC,1.34,0.83,57.08
61,Hungary,UEFA,1.57,1.08,56.44
62,Congo DR,CAF,1.53,1.06,55.89
63,Zambia,CAF,1.63,1.17,55.65
64,Israel,UEFA,1.65,1.2,55.4
65,Saudi Arabia,AFC,1.46,1.09,53.82
66,Burkina Faso,CAF,1.38,1.01,53.67
67,Montenegro,UEFA,1.43,1.08,53.04
68,Honduras,CONCACAF,1.54,1.19,53.02
69,Bolivia,CONMEBOL,1.48,1.14,52.98
70,Zimbabwe,CAF,1.51,1.19,52.54
71,Kosovo,UEFA,1.43,1.13,52.11
72,Guinea,CAF,1.38,1.08,52.05
73,Haiti,CONCACAF,1.47,1.19,51.6
74,Georgia,UEFA,1.4,1.12,51.54
75,Iraq,AFC,1.28,1.03,50.79
76,Bulgaria,UEFA,1.36,1.13,50.33
77,Belarus,UEFA,1.27,1.05,50.16
78,Panama,CONCACAF,1.29,1.09,49.55
79,FYR Macedonia,UEFA,1.3,1.13,49.0
80,South Africa,CAF,1.34,1.18,48.94
81,Libya,CAF,1.39,1.25,48.35
82,Armenia,UEFA,1.6,1.48,48.17
83,Syria,AFC,1.44,1.31,48.16
84,Angola,CAF,1.14,1.01,47.8
85,China PR,AFC,1.22,1.12,47.38
86,Tanzania,CAF,1.32,1.25,46.65
87,Uganda,CAF,1.07,0.99,46.6
88,Jamaica,CONCACAF,1.31,1.25,46.4
89,Gabon,CAF,1.05,0.99,45.9
90,Kenya,CAF,1.04,1.0,45.59
91,Albania,UEFA,1.13,1.11,45.17
92,New Zealand,OFC,1.28,1.29,44.99
93,Benin,CAF,1.13,1.16,44.11
94,Cape Verde Islands,CAF,1.08,1.14,43.28
95,El Salvador,CONCACAF,1.1,1.17,43.24
96,Bahrain,AFC,1.02,1.09,42.92
97,Congo,CAF,1.34,1.45,42.81
98,Burundi,CAF,0.99,1.06,42.73
99,Togo,CAF,1.09,1.19,42.51
100,Oman,AFC,0.99,1.09,42.21
101,Guatemala,CONCACAF,1.3,1.46,41.8
102,Curacao,CONCACAF,1.29,1.47,41.53
103,Jordan,AFC,0.94,1.11,40.21
104,Malawi,CAF,0.76,0.9,40.03
105,Botswana,CAF,0.95,1.15,39.79
106,Namibia,CAF,0.8,0.97,39.43
107,United Arab Emirates,AFC,0.93,1.14,39.22
108,Equatorial Guinea,CAF,1.15,1.42,39.19
109,Mauritania,CAF,1.13,1.4,38.98
110,Gambia,CAF,1.06,1.33,38.81
111,Kazakhstan,UEFA,1.16,1.45,38.64
112,Madagascar,CAF,1.14,1.48,37.83
113,Cyprus,UEFA,1.09,1.41,37.83
114,Trinidad and Tobago,CONCACAF,1.12,1.46,37.38
115,Liberia,CAF,1.17,1.56,36.93
116,Estonia,UEFA,0.97,1.31,36.82
117,Kuwait,AFC,0.83,1.23,34.68
118,Luxembourg,UEFA,1.09,1.59,34.24
119,Lebanon,AFC,0.67,1.04,34.13
120,Lesotho,CAF,0.86,1.33,33.71
121,Chad,CAF,1.09,1.63,33.56
122,Bermuda,CONCACAF,1.28,1.87,33.56
123,Cuba,CONCACAF,0.91,1.42,33.14
124,Moldova,UEFA,0.9,1.43,32.84
125,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
126,Mozambique,CAF,1.01,1.58,32.61
127,Azerbaijan,UEFA,0.92,1.47,32.31
128,Lithuania,UEFA,1.04,1.68,31.68
129,Sierra Leone,CAF,1.07,1.72,31.44
130,Nicaragua,CONCACAF,0.98,1.61,31.4
131,Dominican Republic,CONCACAF,1.1,1.78,31.24
132,Rwanda,CAF,0.7,1.23,31.11
133,Guinea-Bissau,CAF,0.97,1.63,30.71
134,Palestine,AFC,0.85,1.47,30.6
135,Sudan,CAF,0.77,1.38,30.24
136,Niger,CAF,0.92,1.6,30.24
137,Ethiopia,CAF,0.74,1.38,29.41
138,Central African Republic,CAF,1.06,1.85,29.14
139,Vietnam,AFC,0.76,1.45,28.56
140,Kyrgyzstan,AFC,0.81,1.58,27.85
141,North Korea,AFC,0.96,1.83,27.29
142,Comoros,CAF,0.96,1.88,26.47
143,Antigua and Barbuda,CONCACAF,1.12,2.11,26.42
144,Latvia,UEFA,0.81,1.66,26.42
145,Martinique,CONCACAF,0.94,1.85,26.34
146,Swaziland,CAF,0.72,1.54,26.2
147,Fiji,OFC,0.69,1.5,26.09
148,Thailand,AFC,0.9,1.87,25.26
149,Turkmenistan,AFC,0.81,1.75,25.07
150,Guyana,CONCACAF,1.13,2.22,25.06
151,Belize,CONCACAF,0.81,1.77,24.62
152,Suriname,CONCACAF,0.76,1.71,24.52
153,Faroe Islands,UEFA,0.79,1.79,24.01
154,Solomon Islands,OFC,0.69,1.71,22.71
155,Barbados,CONCACAF,0.52,1.51,21.62
156,New Caledonia,OFC,0.69,1.85,20.92
157,Puerto Rico,CONCACAF,0.75,1.96,20.79
158,India,AFC,0.62,1.76,20.41
159,Tahiti,OFC,0.81,2.15,19.56
160,Indonesia,AFC,0.74,2.07,19.11
161,Tajikistan,AFC,0.67,1.96,19.0
162,Mauritius,CAF,0.83,2.24,18.83
163,Philippines,AFC,0.73,2.07,18.77
164,Dominica,CONCACAF,0.47,1.66,18.28
165,St. Lucia,CONCACAF,0.64,2.04,17.39
166,Hong Kong,AFC,0.42,1.63,17.29
167,Sao Tome and Principe,CAF,0.82,2.36,17.22
168,South Sudan,CAF,0.78,2.3,17.22
169,Malta,UEFA,0.62,2.03,16.98
170,St. Vincent and the Grenadines,CONCACAF,0.72,2.26,16.45
171,Grenada,CONCACAF,0.68,2.22,16.04
172,Vanuatu,OFC,0.67,2.22,16.02
173,Malaysia,AFC,0.62,2.14,15.9
174,Singapore,AFC,0.48,1.87,15.77
175,Yemen,AFC,0.37,1.69,15.36
176,Liechtenstein,UEFA,0.61,2.26,14.38
177,Gibraltar,UEFA,0.52,2.1,14.27
178,Andorra,UEFA,0.25,1.83,11.25
179,Seychelles,CAF,0.48,2.38,11.07
180,Afghanistan,AFC,0.6,2.62,10.96
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Myanmar,AFC,0.47,2.52,9.75
183,Montserrat,CONCACAF,0.81,3.24,9.65
184,Cayman Islands,CONCACAF,0.4,2.41,9.43
185,Papua New Guinea,OFC,0.6,2.88,9.16
186,Chinese Taipei,AFC,0.48,2.64,9.03
187,Nepal,AFC,0.2,2.12,7.94
188,Bahamas,CONCACAF,0.73,3.44,7.5
189,Maldives,AFC,0.41,2.87,6.75
190,French Guiana,CONCACAF,0.52,3.18,6.57
191,Bangladesh,AFC,0.2,2.42,6.17
192,Djibouti,CAF,0.52,3.29,6.04
193,Somalia,CAF,0.46,3.16,5.92
194,Mongolia,AFC,0.29,2.91,5.07
195,San Marino,UEFA,0.27,3.17,3.96
196,British Virgin Islands,CONCACAF,0.42,3.62,3.88
197,Cambodia,AFC,0.31,3.32,3.84
198,Bonaire,CONCACAF,0.37,3.59,3.5
199,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
200,Guadeloupe,CONCACAF,0.2,3.49,2.47
201,Anguilla,CONCACAF,0.36,4.03,2.41
202,Brunei,AFC,0.21,3.71,2.13
203,US Virgin Islands,CONCACAF,0.38,4.38,1.93
204,Sri Lanka,AFC,0.2,3.92,1.71
